"Gender","Age","Attitude","Points","SeekingMeaning","RelatingIdeas","UseOfEvidence","LackOfPurpose","UnrelatedMemorising","SyllabusBoundness","OrganizedStudying","TimeManagement"
"F",44,26,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",29,17,9,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",30,27,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",27,39,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",29,34,30,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",31,27,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",37,23,9,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",26,37,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",26,44,32,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",30,41,32,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",33,37,33,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",33,25,29,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",28,30,30,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",26,34,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",27,32,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,20,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",31,24,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",20,42,10,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",39,16,11,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",38,31,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",24,38,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",26,38,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",25,33,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",30,17,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,25,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",30,32,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",48,35,17,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",24,32,29,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",40,42,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",25,31,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,39,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,19,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,21,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",27,25,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",25,32,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",23,32,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,26,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,23,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",45,38,9,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,28,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,33,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,48,29,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,40,33,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,40,33,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,47,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",26,23,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,31,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",26,27,17,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,41,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,34,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,25,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,21,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,14,11,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,19,29,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,37,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",23,32,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",24,28,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,41,33,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,25,16,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,28,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",20,38,22,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,31,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,35,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,36,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",23,26,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,44,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,45,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",29,32,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",29,39,30,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,25,12,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",28,33,17,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,33,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",30,30,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,29,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",23,33,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,33,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,35,17,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,36,18,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,37,17,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,42,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,32,26,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
